transaction_id,date,time,description,payee,amount,channel
TXN-B-0001,2024-01-01,15:40:28,Routine payment,Property_Mgmt,50.0,UPI
TXN-B-0002,2024-01-02,12:35:08,Routine payment,City_Power,35.0,card
TXN-B-0004,2024-01-05,17:51:15,Routine payment,MediCare,45.0,UPI
TXN-B-0003,2024-01-05,19:31:07,Routine payment,Urban_Eats,55.0,UPI
TXN-B-0006,2024-01-06,11:53:58,Routine payment,FreshMart,55.2,UPI
TXN-B-0005,2024-01-06,16:00:35,Routine payment,StreamFlix,20.0,card
TXN-B-0007,2024-01-08,09:41:53,Routine payment,Urban_Eats,39.8,UPI
TXN-B-0010,2024-01-09,16:09:24,Routine payment,Urban_Eats,39.28,UPI
TXN-B-0008,2024-01-09,19:18:32,Routine payment,Urban_Eats,53.48,card
TXN-B-0009,2024-01-09,21:30:30,Routine payment,Urban_Eats,54.4,UPI
TXN-B-0012,2024-01-11,09:17:49,Routine payment,Property_Mgmt,57.11,card
TXN-B-0011,2024-01-11,16:47:56,Routine payment,PetroStop,77.99,UPI
TXN-B-0013,2024-01-12,20:32:17,Routine payment,StreamFlix,20.0,UPI
TXN-B-0015,2024-01-14,10:28:34,Routine payment,Property_Mgmt,50.0,card
TXN-B-0016,2024-01-14,13:35:48,Routine payment,StreamFlix,20.0,card
TXN-B-0014,2024-01-14,19:19:53,Routine payment,StreamFlix,20.0,card
TXN-B-0017,2024-01-15,13:55:12,Routine payment,Urban_Eats,55.0,UPI
TXN-B-0018,2024-01-17,14:14:54,Routine payment,PetroStop,40.0,card
TXN-B-0019,2024-01-18,13:47:30,Routine payment,FreshMart,64.45,card
TXN-B-0020,2024-01-19,18:50:52,Routine payment,Urban_Eats,55.0,UPI
TXN-B-0021,2024-01-20,08:08:32,Routine payment,Urban_Eats,55.0,card
TXN-B-0022,2024-01-20,09:55:54,Routine payment,Property_Mgmt,78.45,card
TXN-B-0024,2024-01-21,10:26:55,Routine payment,MediCare,38.69,UPI
TXN-B-0025,2024-01-21,15:50:16,Routine payment,FreshMart,36.66,card
