transaction_id,date,time,description,payee,amount,channel
TXN-C-0001,2024-01-03,12:46:28,Streaming service,WatchNow,40.0,UPI
TXN-C-0004,2024-01-05,13:23:43,Bookstore,PageTurner,49.34,card
TXN-C-0003,2024-01-05,14:34:15,Streaming service,WatchNow,40.0,card
TXN-C-0002,2024-01-05,14:44:39,Bookstore,PageTurner,56.42,card
TXN-C-0005,2024-01-07,19:32:33,Bookstore,PageTurner,51.98,card
TXN-C-0006,2024-01-09,11:55:16,Phone bill,TeleLink,37.44,UPI
TXN-C-0008,2024-01-10,10:18:05,Streaming service,WatchNow,40.0,UPI
TXN-C-0007,2024-01-10,18:47:59,Streaming service,WatchNow,40.0,UPI
TXN-C-0009,2024-01-11,11:56:27,Coffee,BeanBar,35.0,UPI
TXN-C-0011,2024-01-11,18:37:24,Grocery run,QuickShop,30.35,UPI
TXN-C-0010,2024-01-11,18:59:01,Phone bill,TeleLink,23.55,card
TXN-C-0012,2024-01-12,17:59:06,Coffee,BeanBar,35.0,card
TXN-C-0013,2024-01-16,16:59:53,Phone bill,TeleLink,50.0,card
TXN-C-0014,2024-01-16,22:28:39,Streaming service,WatchNow,40.0,UPI
TXN-C-0015,2024-01-19,13:56:09,Grocery run,QuickShop,39.73,card
TXN-C-0016,2024-01-19,14:19:07,Grocery run,QuickShop,40.11,UPI
TXN-C-0018,2024-01-19,14:45:09,Pharmacy,HealthPlus,45.15,card
TXN-C-0017,2024-01-19,21:32:07,Phone bill,TeleLink,48.14,card
TXN-C-0019,2024-01-21,18:37:36,Bookstore,PageTurner,56.17,card
TXN-C-0020,2024-01-22,09:33:23,Phone bill,TeleLink,38.72,UPI
TXN-C-0021,2024-01-23,07:24:55,Pharmacy,HealthPlus,56.39,card
TXN-C-0022,2024-01-24,18:16:47,Grocery run,QuickShop,42.13,UPI
TXN-C-0023,2024-01-31,18:15:46,Coffee,BeanBar,35.0,UPI
TXN-C-0024,2024-02-04,17:08:02,Pharmacy,HealthPlus,41.75,card
TXN-C-0025,2024-02-05,12:56:49,Pharmacy,HealthPlus,37.64,card
TXN-C-0028,2024-02-07,08:20:59,Grocery run,QuickShop,23.5,card
TXN-C-0026,2024-02-07,12:55:08,Streaming service,WatchNow,40.0,UPI
TXN-C-0027,2024-02-07,21:02:18,Streaming service,WatchNow,40.0,UPI
TXN-C-0029,2024-02-08,22:38:02,Pharmacy,HealthPlus,39.64,UPI
TXN-C-0030,2024-02-09,08:57:41,Coffee,BeanBar,35.0,card
TXN-C-0031,2024-02-09,18:43:56,Coffee,BeanBar,30.64,card
TXN-C-0032,2024-02-10,19:40:11,Streaming service,WatchNow,40.0,card
TXN-C-0033,2024-02-11,15:55:05,Streaming service,WatchNow,40.0,card
TXN-C-0034,2024-02-12,12:47:18,Grocery run,QuickShop,36.61,card
TXN-C-0035,2024-02-13,16:39:28,Grocery run,QuickShop,44.89,card
TXN-C-0036,2024-02-14,18:28:02,Phone bill,TeleLink,20.0,card
TXN-C-0037,2024-02-16,15:40:50,Pharmacy,HealthPlus,66.25,UPI
TXN-C-0038,2024-02-16,19:23:32,Grocery run,QuickShop,41.29,UPI
TXN-C-0039,2024-02-16,21:31:08,Grocery run,QuickShop,54.65,UPI
TXN-C-0040,2024-02-22,18:23:24,Phone bill,TeleLink,50.0,UPI
TXN-C-0041,2024-02-24,21:41:23,Pharmacy,HealthPlus,61.29,card
TXN-C-0043,2024-02-25,07:47:11,Phone bill,TeleLink,47.45,card
TXN-C-0042,2024-02-25,18:25:20,Grocery run,QuickShop,39.8,card
TXN-C-0044,2024-02-26,10:38:49,Pharmacy,HealthPlus,51.71,card
TXN-C-0046,2024-03-01,09:44:11,Phone bill,TeleLink,50.0,card
TXN-C-0045,2024-03-01,16:52:58,Streaming service,WatchNow,40.0,card
TXN-C-0047,2024-03-02,17:42:22,Grocery run,QuickShop,39.27,UPI
TXN-C-0048,2024-03-03,16:54:10,Pharmacy,HealthPlus,37.03,UPI
TXN-C-0049,2024-03-04,10:12:50,Coffee,BeanBar,35.0,UPI
TXN-C-0050,2024-03-05,07:23:35,Phone bill,TeleLink,20.56,card
TXN-C-0051,2024-03-07,11:39:56,Bookstore,PageTurner,60.0,UPI
TXN-C-0053,2024-03-08,17:50:04,Pharmacy,HealthPlus,44.95,card
TXN-C-0052,2024-03-08,22:46:26,Grocery run,QuickShop,41.37,card
TXN-C-0054,2024-03-09,18:08:56,Bookstore,PageTurner,36.81,UPI
TXN-C-0055,2024-03-10,08:56:07,Phone bill,TeleLink,44.42,UPI
TXN-C-0056,2024-03-10,17:59:45,Coffee,BeanBar,35.0,UPI
