transaction_id,date,time,description,payee,amount,channel
TXN-D-0002,2024-01-01,12:29:43,Coffee shop,DailyBrews,32.79,card
TXN-D-0001,2024-01-01,21:00:48,Bus fare,CityBus,20.0,UPI
TXN-D-0003,2024-01-02,16:27:34,Top-up,MobileWallet,16.2,UPI
TXN-D-0004,2024-01-03,21:14:15,Streaming,MusicStream,15.0,UPI
TXN-D-0005,2024-01-07,13:09:17,Streaming,MusicStream,15.0,UPI
TXN-D-0006,2024-01-07,22:56:46,Bus fare,CityBus,20.0,UPI
TXN-D-0007,2024-01-09,08:51:42,Coffee shop,DailyBrews,22.8,card
TXN-D-0008,2024-01-10,17:49:59,Streaming,MusicStream,15.0,UPI
TXN-D-0009,2024-01-11,11:13:04,Coffee shop,DailyBrews,23.19,card
TXN-D-0010,2024-01-13,17:02:28,Coffee shop,DailyBrews,30.07,card
TXN-D-0011,2024-01-14,18:45:55,Lunch,QuickBites,29.19,card
TXN-D-0012,2024-01-15,11:47:02,Coffee shop,DailyBrews,23.16,card
TXN-D-0013,2024-01-15,15:14:34,Streaming,MusicStream,14.86,UPI
TXN-D-0015,2024-01-16,10:32:18,Coffee shop,DailyBrews,32.42,card
TXN-D-0014,2024-01-16,20:55:49,Bus fare,CityBus,20.0,UPI
TXN-D-0017,2024-01-19,13:36:38,Lunch,QuickBites,18.96,card
TXN-D-0016,2024-01-19,21:58:46,Bus fare,CityBus,20.0,UPI
TXN-D-0018,2024-01-21,21:20:15,Top-up,MobileWallet,19.6,UPI
TXN-D-0019,2024-01-22,22:09:42,Snack purchase,CornerStore,10.0,card
TXN-D-0020,2024-01-23,11:26:19,Lunch,QuickBites,30.0,card
TXN-D-0021,2024-01-25,08:35:37,Snack purchase,CornerStore,25.0,card
TXN-D-0022,2024-01-25,22:11:40,Top-up,MobileWallet,21.04,UPI
TXN-D-0023,2024-01-27,14:35:31,Top-up,MobileWallet,23.4,UPI
TXN-D-0024,2024-01-29,13:41:42,Coffee shop,DailyBrews,10.0,card
TXN-D-0025,2024-01-30,20:33:20,Streaming,MusicStream,15.0,UPI
TXN-D-0027,2024-01-31,14:11:48,Snack purchase,CornerStore,25.0,card
TXN-D-0026,2024-01-31,14:26:09,Top-up,MobileWallet,31.34,UPI
TXN-D-0028,2024-02-02,15:15:54,Lunch,QuickBites,24.31,card
TXN-D-0029,2024-02-03,12:54:45,Bus fare,CityBus,20.0,UPI
TXN-D-0030,2024-02-04,20:29:58,Bus fare,CityBus,20.0,UPI
TXN-D-0033,2024-02-07,12:13:21,Bus fare,CityBus,20.0,UPI
TXN-D-0032,2024-02-07,16:08:24,Lunch,QuickBites,10.35,card
TXN-D-0031,2024-02-07,16:26:26,Coffee shop,DailyBrews,20.03,card
TXN-D-0034,2024-02-08,09:59:28,Top-up,MobileWallet,24.82,UPI
TXN-D-0036,2024-02-10,08:17:24,Bus fare,CityBus,11.91,UPI
TXN-D-0035,2024-02-10,09:34:46,Snack purchase,CornerStore,25.0,card
TXN-D-0037,2024-02-11,17:38:02,Top-up,MobileWallet,21.14,UPI
TXN-D-0038,2024-02-12,11:51:48,Coffee shop,DailyBrews,21.47,card
TXN-D-0040,2024-02-12,15:13:55,Bus fare,CityBus,20.0,UPI
TXN-D-0039,2024-02-12,19:42:35,Lunch,QuickBites,14.29,card
TXN-D-0041,2024-02-13,12:58:00,Snack purchase,CornerStore,25.0,card
